Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,serotype,isolation_source,BioSample Accession,is_retracted,retraction_detection_date_utc
SRR28752446,WGS,146.11,93605195,PRJNA1102327,SAMN41019184,Viral,30074178,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318198,USA,North America,USA,Blackbird,Illumina iSeq 100,24-008354-001-original,24-008354-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20 18:20:39,2024-04-20T18:12:00Z,1,24-008354-001-original,SRP503016,H5N1,,SRS21079812,False,
SRR28752447,WGS,241.29,86080323,PRJNA1102327,SAMN41019237,Viral,28164109,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318197,USA,North America,USA,Cattle,Illumina MiSeq,24-009108-005-original,24-009108-005-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20 18:20:39,2024-04-20T18:12:00Z,1,24-009108-005-original,SRP503016,H5N1,,SRS21079811,False,
SRR28752448,WGS,250.3,75035343,PRJNA1102327,SAMN41019236,Viral,24547283,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318196,USA,North America,USA,Cattle,Illumina MiSeq,24-009108-004-original,24-009108-004-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20 18:20:39,2024-04-20T18:12:00Z,1,24-009108-004-original,SRP503016,H5N1,,SRS21079810,False,
SRR28752449,WGS,146.61,59363690,PRJNA1102327,SAMN41019235,Viral,19686302,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318195,USA,North America,USA,Cattle,Illumina iSeq 100,24-009108-003-original,24-009108-003-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20 18:20:39,2024-04-20T18:12:00Z,1,24-009108-003-original,SRP503016,H5N1,,SRS21079809,False,
SRR28752450,WGS,251.31,119232569,PRJNA1102327,SAMN41019234,Viral,38846827,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318194,USA,North America,USA,Cattle,Illumina MiSeq,24-009108-002-original,24-009108-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20 18:20:39,2024-04-20T18:12:00Z,1,24-009108-002-original,SRP503016,H5N1,,SRS21079808,False,
SRR28752451,WGS,146.95,64394752,PRJNA1102327,SAMN41019233,Viral,21179953,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318193,USA,North America,USA,Cattle,Illumina iSeq 100,24-009108-001-original,24-009108-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20 18:20:39,2024-04-20T18:12:00Z,1,24-009108-001-original,SRP503016,H5N1,,SRS21079807,False,
SRR28752452,WGS,144.08,41343137,PRJNA1102327,SAMN41019232,Viral,14331437,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318192,USA,North America,USA,Cattle,Illumina iSeq 100,24-009088-002-original,24-009088-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20 18:20:39,2024-04-20T18:12:00Z,1,24-009088-002-original,SRP503016,H5N1,,SRS21079805,False,
SRR28752453,WGS,144.71,37055919,PRJNA1102327,SAMN41019231,Viral,12938409,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318191,USA,North America,USA,Cattle,Illumina iSeq 100,24-009088-001-original,24-009088-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20 18:20:39,2024-04-20T18:12:00Z,1,24-009088-001-original,SRP503016,H5N1,,SRS21079806,False,
SRR28752454,WGS,247.92,77475156,PRJNA1102327,SAMN41019230,Viral,25347759,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318190,USA,North America,USA,Cattle,Illumina MiSeq,24-009087-001-original,24-009087-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20 18:20:39,2024-04-20T18:12:00Z,1,24-009087-001-original,SRP503016,H5N1,,SRS21079804,False,
SRR28752455,WGS,147.62,63694864,PRJNA1102327,SAMN41019229,Viral,19920569,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318189,USA,North America,USA,Cattle,Illumina iSeq 100,24-009029-001-original,24-009029-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20 18:20:39,2024-04-20T18:12:00Z,1,24-009029-001-original,SRP503016,H5N1,,SRS21079803,False,
